# filename: match_astrom_342.1914_-0.90194_run4198.dat 
# nominal center (used for x,y conversion): 342.191375, -0.901944
# source of interest
#   master_objid: 8647475119823389164
#    master_pos: 342.191518, -0.902013
#   fiducal master location (delta ra, delta dec): 0.318662, -0.248112
# converted source location (delta ra, delta dec): 0.263502, -0.155628
# source location (ra, dec): 342.191493, -0.901988
# source error (raerr, decerr): 0.026420, 0.024358
# observation time (day): 736.900364
# t0 (day): 52197.262300
master_objid,objid,master_ra,master_dec,master_dra,master_ddec,master_raerr,master_decerr,master_radeccov,ra,dec,dra,ddec,raerr,decerr,radeccov,master_rmag,rmag
8647475119823389544,8658188314445283813,342.176010,-0.918391,-34.299956,-59.209380,0.035264,0.019947,0.0,342.176077,-0.918370,-34.149364,-59.133852,0.116019,0.083272,0.0,21.079842,21.196648
8647475119823389543,8658188314445283816,342.177554,-0.917081,-30.851865,-54.491256,0.022092,0.024907,0.0,342.177502,-0.917091,-30.968280,-54.527904,0.086981,0.098427,0.0,21.278994,21.424906
8647475119823389728,8658188314445283821,342.181042,-0.898578,-23.067180,12.120300,0.032036,0.039361,0.0,342.181071,-0.898564,-23.000814,12.168972,0.123619,0.156210,0.0,21.044983,21.008064
8647475119823389497,8658188314445283786,342.158845,-0.924182,-72.617844,-80.055684,0.013761,0.014059,0.0,342.158843,-0.924162,-72.620902,-79.983864,0.088256,0.090555,0.0,21.716702,21.494610
8647475119823389708,8658188314445283793,342.160375,-0.892350,-69.200760,34.538868,0.018778,0.020625,0.0,342.160428,-0.892341,-69.082648,34.572960,0.106411,0.149623,0.0,22.199903,22.051207
8647475119823390462,8658188314445283794,342.160355,-0.885131,-69.247214,60.526872,0.035459,0.034375,0.0,342.160369,-0.885132,-69.214600,60.523056,0.229485,0.215238,0.0,22.349888,22.318815
8647475119823389515,8658188314445283798,342.164846,-0.882127,-59.219885,71.340876,0.018690,0.019359,0.0,342.164794,-0.882116,-59.336858,71.382348,0.171895,0.119990,0.0,22.157944,22.348186
8647475119823389844,8658188314445283801,342.166905,-0.918973,-54.624589,-61.302276,0.029569,0.024191,0.0,342.166883,-0.919013,-54.673008,-61.447572,0.144113,0.183263,0.0,22.248913,21.658743
8647475119823390486,8658188314445283802,342.166936,-0.910862,-54.556169,-32.103108,0.027094,0.028704,0.0,342.166948,-0.910855,-54.529135,-32.077764,0.108406,0.210272,0.0,22.404890,21.739210
8647475119823454938,8658188314445283703,342.242700,-0.912209,114.573189,-36.954000,0.023648,0.020432,0.0,342.242708,-0.912211,114.590199,-36.958608,0.077775,0.099351,0.0,21.086662,21.117840
8647475119823454488,8658188314445283705,342.243486,-0.890032,116.326935,42.885900,0.006476,0.007201,0.0,342.243502,-0.890053,116.362607,42.807780,0.030406,0.037346,0.0,20.145653,19.963919
8647475119823454494,8658188314445283706,342.244638,-0.890864,118.900519,39.890484,0.014091,0.014082,0.0,342.244608,-0.890870,118.833237,39.867840,0.062402,0.061214,0.0,21.306271,20.567621
8647475119823389065,8658188314445283777,342.148244,-0.902584,-96.282412,-2.302992,0.018451,0.018925,0.0,342.148230,-0.902550,-96.313084,-2.181204,0.099809,0.180070,0.0,22.044973,21.812651
8647475119823390410,8658188314445283778,342.153445,-0.869000,-84.672131,118.599192,0.033230,0.042994,0.0,342.153498,-0.868942,-84.552658,118.808172,0.098495,0.277385,0.0,21.755211,21.762045
8647475119823390424,8658188314445283781,342.155513,-0.914064,-80.054378,-43.632216,0.028444,0.028932,0.0,342.155511,-0.914123,-80.059713,-43.843968,0.130839,0.133478,0.0,22.135719,22.177404
8647475119823454492,8658188314445283689,342.228604,-0.930077,83.106702,-101.276712,0.012676,0.012671,0.0,342.228609,-0.930085,83.117819,-101.305368,0.076609,0.073937,0.0,21.661190,21.683586
8647475119823454560,8658188314445283691,342.231570,-0.936608,89.726546,-124.787376,0.005523,0.005547,0.0,342.231571,-0.936595,89.730430,-124.743528,0.029380,0.035449,0.0,20.674482,20.590601
8647475119823454918,8658188314445283695,342.233343,-0.931602,93.685501,-106.766712,0.396127,0.792254,0.0,342.233328,-0.931527,93.651681,-106.495956,0.070705,0.094225,0.0,20.594191,20.604589
8647475119823454566,8658188314445283697,342.234721,-0.883391,96.762604,66.792024,0.009310,0.009980,0.0,342.234741,-0.883390,96.806960,66.795552,0.045405,0.060827,0.0,21.323975,21.200638
8647475119823454925,8658188314445283698,342.235103,-0.928962,97.614431,-97.262604,0.792254,0.396127,0.0,342.235112,-0.929009,97.635236,-97.432200,0.094644,0.084260,0.0,20.989014,20.906235
8647475119823455337,8658188314445283700,342.237369,-0.932578,102.673154,-110.279916,0.033878,0.022818,0.0,342.237363,-0.932603,102.660251,-110.369160,0.911191,0.138241,0.0,21.088404,21.154753
8647475119823389636,8658188314445283677,342.212006,-0.914286,46.055627,-44.429472,0.014543,0.013460,0.0,342.212004,-0.914280,46.049868,-44.408520,0.070062,0.063801,0.0,21.544907,21.466734
8647475119823389215,8658188314445283678,342.214366,-0.889730,51.322647,43.970112,0.011857,0.012636,0.0,342.214389,-0.889744,51.374437,43.922196,0.058994,0.071748,0.0,21.542830,21.524471
8647475119823454519,8658188314445283683,342.224215,-0.869237,73.309815,117.745704,0.008341,0.007942,0.0,342.224203,-0.869259,73.282246,117.667224,0.040747,0.045956,0.0,21.217442,21.107862
8647475119823454521,8658188314445283684,342.222731,-0.868018,69.997158,122.134932,0.160660,0.084430,0.0,342.222765,-0.868022,70.072365,122.121468,0.165529,0.114391,0.0,22.109262,22.181341
8647475119823454520,8658188314445283685,342.223419,-0.869437,71.532138,117.025128,0.031466,0.031394,0.0,342.223318,-0.869463,71.305581,116.934480,0.192999,0.197589,0.0,21.108788,22.071939
8647475119823454531,8658188314445283687,342.224510,-0.914987,73.968234,-46.953684,0.008040,0.008463,0.0,342.224527,-0.914997,74.004978,-46.989036,0.041673,0.051859,0.0,21.115379,20.874283
8647475119823389603,8658188314445283660,342.204328,-0.924617,28.915047,-81.621180,0.037242,0.045880,0.0,342.204323,-0.924582,28.904712,-81.493956,0.142371,0.187773,0.0,22.209759,22.382408
8647475119823389601,8658188314445283661,342.204423,-0.923157,29.127898,-76.365324,0.009474,0.010011,0.0,342.204398,-0.923171,29.071354,-76.414176,0.065113,0.067337,0.0,21.362061,21.356163
8647475119823389610,8658188314445283667,342.208945,-0.880659,39.221437,76.629240,0.028916,0.023285,0.0,342.208924,-0.880641,39.175005,76.692204,0.148941,0.147793,0.0,21.190914,21.098881
